subdir,tool_name,duration,step,token_count,error,error_type,num_arguments,num_tool_calls,completion_tokens,prompt_tokens,has_error,is_retry,duplicate_tool_calls,token_ratio,total_tokens,time_per_token,cached_tokens_pct,finish_reason,model_name,error_msg_length,error_contains_keyerror,error_contains_typeerror,error_contains_valueerror,error_contains_indexerror,error_contains_syntaxerror,error_contains_nameerror,error_contains_attributeerror,error_contains_runtimeerror,arg_complexity,observation_length,consecutive_retries
wiki00478_13,get_neighbours,8.805684328079224,1,3404,,,2,1,65,3339,0,,0,0.0195,3404,0.002587,88.17,tool_calls,gpt-4o-2024-08-06,0,,,,,,,,,44,44,
wiki00478_13,get_ancestors,1.857271671295166,2,3512,,,2,1,69,3443,0,,0,0.02,3512,0.000529,92.94,tool_calls,gpt-4o-2024-08-06,0,,,,,,,,,44,232,
wiki00478_13,final_answer,2.2719368934631348,3,3698,,,1,1,104,3594,0,,0,0.0289,3698,0.000614,92.6,tool_calls,gpt-4o-2024-08-06,0,,,,,,,,,385,0,
code00160_10,get_neighbours,15.909094095230103,1,3456,,,2,1,60,3396,0,,0,0.0177,3456,0.004603,86.69,tool_calls,gpt-4o-2024-08-06,0,,,,,,,,,45,21,
code00160_10,final_answer,2.8607451915740967,2,3567,,,1,1,75,3492,0,,0,0.0215,3567,0.000802,84.31,tool_calls,gpt-4o-2024-08-06,0,,,,,,,,,273,0,
wiki00527_7,get_ancestors,11.982460975646973,1,3405,,,3,1,27,3378,0,,0,0.008,3405,0.003519,87.15,tool_calls,gpt-4o-2024-08-06,0,,,,,,,,,57,66,
wiki00527_7,final_answer,2.020340919494629,2,3572,,,1,1,78,3494,0,,0,0.0223,3572,0.000566,91.59,tool_calls,gpt-4o-2024-08-06,0,,,,,,,,,314,0,
instruct00271_11,path_between,15.993806600570679,1,3383,,,3,1,26,3357,0,,0,0.0077,3383,0.004728,87.7,tool_calls,gpt-4o-2024-08-06,0,,,,,,,,,60,109,
instruct00271_11,final_answer,2.9138996601104736,2,3555,,,1,1,72,3483,0,,0,0.0207,3555,0.00082,84.52,tool_calls,gpt-4o-2024-08-06,0,,,,,,,,,268,0,
code00336_2,get_statement,10.291119575500488,1,3573,,,1,1,61,3512,0,,0,0.0174,3573,0.00288,83.83,tool_calls,gpt-4o-2024-08-06,0,,,,,,,,,16,59,
code00336_2,get_statement,0.7879638671875,2,3662,,,1,1,46,3616,0,,0,0.0127,3662,0.000215,95.58,tool_calls,gpt-4o-2024-08-06,0,,,,,,,,,16,21,
code00336_2,get_statement,0.7349767684936523,3,3727,,,1,1,15,3712,0,,0,0.004,3727,0.000197,79.31,tool_calls,gpt-4o-2024-08-06,0,,,,,,,,,16,32,
code00336_2,final_answer,1.4100666046142578,4,3905,,,1,1,97,3808,0,,0,0.0255,3905,0.000361,90.76,tool_calls,gpt-4o-2024-08-06,0,,,,,,,,,329,0,
instruct00387_14,max_in_degree,27.070788145065308,1,3359,,,0,1,11,3348,0,,0,0.0033,3359,0.008059,87.93,tool_calls,gpt-4o-2024-08-06,0,,,,,,,,,2,68,
instruct00387_14,in_degree,2.2265474796295166,2,3514,,,1,1,76,3438,0,,0,0.0221,3514,0.000634,93.08,tool_calls,gpt-4o-2024-08-06,0,,,,,,,,,16,33,
instruct00387_14,in_degree,1.3862981796264648,3,3592,,,1,1,61,3531,0,,0,0.0173,3592,0.000386,94.25,tool_calls,gpt-4o-2024-08-06,0,,,,,,,,,16,33,
instruct00387_14,in_degree,0.6337752342224121,4,3641,,,1,1,15,3626,0,,0,0.0041,3641,0.000174,95.31,tool_calls,gpt-4o-2024-08-06,0,,,,,,,,,16,33,
instruct00387_14,in_degree,2.049121141433716,5,3730,,,1,1,15,3715,0,,0,0.004,3730,0.000549,82.69,tool_calls,gpt-4o-2024-08-06,0,,,,,,,,,16,33,
instruct00387_14,final_answer,10.911422967910767,6,3922,,,1,1,114,3808,0,,0,0.0299,3922,0.002782,94.12,tool_calls,gpt-4o-2024-08-06,0,,,,,,,,,444,0,
wiki00220_5,get_statement,9.969172954559326,1,3498,,,1,1,76,3422,0,,0,0.0222,3498,0.00285,86.03,tool_calls,gpt-4o-2024-08-06,0,,,,,,,,,16,28,
wiki00220_5,get_neighbours,1.3103721141815186,2,3574,,,2,1,64,3510,0,,0,0.0182,3574,0.000367,83.87,tool_calls,gpt-4o-2024-08-06,0,,,,,,,,,44,80,
wiki00220_5,get_neighbours,1.725839376449585,3,3675,,,2,1,53,3622,0,,0,0.0146,3675,0.00047,91.88,tool_calls,gpt-4o-2024-08-06,0,,,,,,,,,44,59,
wiki00220_5,get_neighbours,0.9182672500610352,4,3746,,,2,1,22,3724,0,,0,0.0059,3746,0.000245,92.8,tool_calls,gpt-4o-2024-08-06,0,,,,,,,,,44,121,
wiki00220_5,final_answer,2.6467108726501465,5,3928,,,1,1,84,3844,0,,0,0.0219,3928,0.000674,89.91,tool_calls,gpt-4o-2024-08-06,0,,,,,,,,,343,0,
wiki00531_10,shortest_path,9.681105852127075,1,3402,,,3,1,27,3375,0,,0,0.008,3402,0.002846,87.23,tool_calls,gpt-4o-2024-08-06,0,,,,,,,,,61,61,
wiki00531_10,final_answer,7.400150537490845,2,3548,,,1,1,60,3488,0,,0,0.0172,3548,0.002086,84.4,tool_calls,gpt-4o-2024-08-06,0,,,,,,,,,198,0,
wiki00357_1,get_statement,10.196960926055908,1,3519,,,1,1,61,3458,0,,0,0.0176,3519,0.002898,85.14,tool_calls,gpt-4o-2024-08-06,0,,,,,,,,,16,70,
